番名,标签,总播放,追番人数,弹幕总数,开播时间,话数,声优,简介
十二大战,热血+战斗+轻改,2001.3万,115.4万,17.8万,2017年10月开播,已完结， 全12话,堀江瞬、梅原裕一郎、五十岚裕美、冈本信彦、江口拓也、鸟海浩辅、緑川光、チョー、早见沙织,每十二年举办一次的，第十二回“十二大战”。持有干支之名的十二名狞猛战士，以自己的性命与灵魂为赌注的战斗。参加者是『子』『丑』『寅』『卯』『辰』『巳』『午』『未』『申』『酉』『戌』『亥』的十二位异样的战士们。摘得这场战争的胜果的人，任何愿望都可以成真，但数额只有一个。无论如何都想要成真的、那仅此一个的愿望——最后活下来的会是谁？在谋策与杀戮的战场漩涡之中，流下的是谁的泪水？震撼灵魂的盛大战斗，即将开战。
恋爱暴君,后宫+搞笑+恋爱+漫改+神魔,2184.5万,114.4万,45.6万,2017年4月开播,已完结， 全12话,小野賢章、原由実、青山吉能、長野佑紀、沼倉愛美、高橋李依、檜山修之、大塚芳忠、子安武人,某天，男高中生·蓝野青司的身边突然出现了一位持有能够让任意两人强制接吻的不可思议道具“亲吻笔记”的死神风少女·古莉，并宣告道“24小时以内不接吻的话，书写者（古莉）将会死去，而被写上去的人（青司）也将会当一辈子的处男”……。爱的丘比特（？）古莉，与青司以及伙伴们为寻求“接吻对象”而展开的高昂系恋爱喜剧，应该也一定能让你变得想要谈恋爱（！？）。
Charlotte,日常+奇幻+校园+战斗,3572.9万,113万,54万,2015年7月开播,已完结， 全13话,内山昂辉、佐仓绫音、水岛大宙、内田真礼、内田真礼、麻仓桃、中原麻衣、民安ともえ、间岛淳司,思春期的少年少女中极少部分人会发作的特殊能力。驱使着无人知晓的能力，过着顺风顺水学园生活的乙坂有宇。突然出现在这样的他的面前的少女，友利奈绪。从与她相遇的那一天起，被揭露出特殊能力者的宿命。这是由麻枝准所描绘的，特殊能力者们奔跑着的青春物语——。
斩·赤红之瞳！,热血+致郁+奇幻+战斗,7534.2万,112.2万,168.3万,2014年7月开播,已完结， 全24话,雨宮天、斉藤壮馬、田村ゆかり、小西克幸、浅川悠、松冈祯丞、名冢佳织、浅沼晋太郎、明坂聡美、大桥彩香、细谷佳正、兰..,为了解救贫穷的村子而与两位同伴一起来到帝都打拼的少年剑士——塔兹米，在抵达帝都的第一天就被骗光了钱，幸好被“好心”的富家大小姐——艾莉亚收留回家。隔天晚上便遭到帝都最凶恶的杀手集团——Night Raid的袭击，塔兹米在下决心保护艾莉亚的时候，却发现了事情的真相......就如同人会腐朽一样，国家总有一天也会走向毁灭，就连千年繁荣的帝都，也不过只是个腐败的人间地狱。披着人皮的魑魅魍魉，嚣张跋扈地四处横行。天若无能制裁邪恶，我等将会于黑暗之中给予消逝——我等全员，职业杀手团——
幻界战线 & BEYOND,奇幻+战斗+漫改,1291.3万,111.8万,11.8万,2017年10月开播,连载中， 每周日 03:08更新,小山力也、阪口大助、中井和哉、宫本充、小林优、绿川光,曾经被称为纽约的城市，仅仅一晚便消失无踪。出现在那里的城市“赫尔沙雷姆兹·罗特”。在浓雾的另一侧展开，连结“异世界”与现世的这一地区，变化成了各怀心思的人们所跋扈的“地球上最危险的城市”。为了保护这座混沌之城的均衡，持续着不为人知的活动的人们。以使用布雷格利德流血斗术的强硬绅士克劳斯·V·莱因赫兹为首领，面带伤疤的克劳斯的左膀右臂史蒂芬，银发不良扎普·伦弗洛与半人半鱼的齐德，不可视的人狼钱·皇与独眼的淑女K·K。以及拥有“诸神的义眼”的青年雷欧……。当骚动发生之时，秘密结社·莱布拉必定会现身。响彻小巷子里的狂乱与邪恶的怪物们。深爱的深渊与不断重复的灾变。不会结束的家常便饭现在再次开幕。并且，去往更加遥远的Beyond……
NO GAME NO LIFE 游戏人生,后宫+奇幻+智斗,1954.5万,109.3万,74.1万,2014年4月开播,已完结， 全12话,松岡禎丞、茅野愛衣、日笠陽子、田村ゆかり、井口裕香、能登麻美子、釘宮理恵、沢城みゆき,尼特族又闭门不出，但是在网络上甚至被当作都市传说口耳相传的天才玩家兄妹·空和白。将世界称为“垃圾游戏”的这两个人某一天被自称“神”的少年召唤到了异世界。那里是被神明禁止了战争，“一切交由游戏来决定”的世界——没错，就连国境线也是一样。被其他种族逼入绝境，只剩下最后一座都市的‘人类种<Imanity>’。空和白，两名废人兄妹到底能否在异世界成为‘人类的救世主’？——“那么，让我们开始游戏吧！”
Fate/stay night [Unlimited Blade Works] 第二季,热血+奇幻,5743.2万,106.2万,104.6万,2015年4月开播,已完结， 全13话,杉山纪彰、植田佳奈、下屋则子、中田让治、关智一、寺杣昌纪、门胁舞以、川澄绫子、诹..,Fate/stay night -UBW-是FSN的第二条路线Unlimited Blade Works的TV化作品。通过2010年1月23日上映的UBW剧场版，为我们应该已对该路线的故事情节有所了解。而即将于2014年10月4日播出的TV版到底又有何不同呢？或许是对游戏情节更加细致的描写，亦或是对某些未出现的场景作出的补充。于齿轮转动的无边旷野中，耳边再次回响起那浅吟低唱的咒文时，伴随着我们度过的那段难忘的圣杯战争又将重燃战火……
境界的彼方,奇幻+战斗+恋爱,929万,106.1万,46.2万,2013年10月开播,已完结， 全12话,种田梨沙、KENN、茅原实里、铃木达央、山冈百合、进藤尚美、渡边明乃、丰田萌绘、矢作纱友里、松风雅也、..,【本片翻译由澄空学园字幕组提供】“那一族”唯一存活下来的少女与根本说不上是存在的“半妖”少年的二个人之间的故事。由人类与妖梦所生出的少年神原秋人某天在学校的屋顶上遇到从天而降的少女栗山未来。就算在异界士中，她也算是拥有著特异之诅咒一族最后活下来的少女。不变的教室、不变的日常、不变的世界，原本日子理应如此一天一天的走过。不过……唯一生存下来的少女与半妖少年的相会成为了这个世界唯一的改变……。
OVERLORD,奇幻+装逼+战斗+轻改,6428.9万,105.6万,115.4万,2015年7月开播,已完结， 全13话,日野聪、原由实、上坂堇、加藤英美里、内山夕实、加藤将之、三宅健太、千叶繁、娜贝拉尔..,作品主要讲述了某天，一款曾经掀起过大热潮的VRMMORPG「YGGDRASIL」停止了运营。游戏原本会停止一切服务，但过了结束时间后，玩家们却发现不能退出，NPC也产生了各自的思想。现实世界中喜爱电玩的主人公铃木悟（真名）在等待系统强制登出时，与“安兹·乌尔·恭”公会的成员一起意外穿越到了异世界，并且变成了拥有骷髅外表的最强魔法师——“飞鼠”。就这样，真正的奇幻传说正式拉开了帷幕。
齐木楠雄的灾难（日播&精选版）,泡面+奇幻+校园,1.6亿,104.9万,74.1万,2016年7月开播,已完结， 全120话,神谷浩史、岛崎信长、小野大辅、岩田光央、爱河里花子、茅野爱衣、田村由加莉、日野聪、花江夏树,高中生·齐木楠雄是超能力者。心灵感应、念动力、透视、预知、瞬间移动、千里眼等，不论任何事情都自由自在。但这任谁都羡慕不已的最强能力，实际上对于本人而言是引来灾难的不幸元凶。因此，他在别人面前封印了超能力，以不起眼、不和他人有所牵扯为信条，默默无闻地过日子。但不知为何，他的身边总是聚集着不可思议的人类（生物），风暴般的灾难接连不断地降临！
魔法禁书目录 第一季,热血+科幻+校园+装逼+战斗,1393.6万,103.6万,102.1万,2008年10月开播,已完结， 全24话,佐藤利奈、井口裕香、阿部敦、佐佐木望、佐佐木望、新井里美、川原慶久、寺崎裕香,故事讲述的是从东京都西部被分割出来的这座都市中，“超能力开发”被列为学校课程的一部分（学生作为人体科学实验对象）。在二百三十万人口中，有八成都是学生，所以被称为学园都市。他们每天都在超能力开发上进行相互竞争。根据能力高低不同，可以分为6级，从无能力（level 0）到超能力（level 5）。故事的主角上条当麻是学园里的一个无能力者，但并非完全没有能力，他的能力是能够将一切异能之力无效化。他只有右手能够使用这种能力，还给自己的这种连上帝的奇迹都能抹杀的能力取名为“幻想杀手”。而正因为他的右手似乎把神的祝福都给抹杀掉的缘故，导致自己一直过著不幸的生活。某一个暑假的日子，在家里的阳台上，他遇见了一位修女；这位少女自称自己的名字叫“茵蒂克丝”，并是从魔法的世界逃了出来，现在正在被魔法师追赶中。就这样，掌握了十万三千本究极魔法书的少女与拥有抹杀一切奇迹的神上之手的少年，将面临一系列故事……《魔法的禁书目录》（とある魔术の禁书目録）是由日本作家镰池和马创作、灰村清孝插画的一部超人气轻小说，由电击文库出品，第一部《魔法的禁书目录》全22卷于2010年10月10日完结，第二部《新约魔法禁书目..
第一次辣妹,校园+恋爱+漫改,1631.9万,103.4万,50.9万,2017年7月开播,已完结， 全10话,浅沼晋太郎、長久友紀、小倉唯、喜多村英梨、竹達彩奈、豊永利行、赤羽根健治、白石稔,如果与守备坚固的辣妹交往的话！？全是初体验的“辣妹×非现充少年”交往的辣妹恋爱喜剧！新学期——那是新的邂逅的季节。在放眼望去尽是情侣的教室里，羽柴纯一苦恼着。“为啥我还是DT童贞啊！？”为了DT毕业这一夙愿，最快的捷径是向辣妹下跪拜托，从朋友那里听闻此事的纯一，向同班的辣妹·八女由佳奈下跪并告白！！结果由佳奈的回复竟然是OK！？纯一的命运究竟将如何？？
鬼灯的冷彻 第二季,日常+搞笑+漫改+神魔,1134.5万,102.9万,15.9万,2017年10月开播,连载中， 每周日 01:30更新,安元洋贵、长嶝高士、平川大辅、小林由美子、后藤广子、松山鹰志、柿原彻也、青山桐子、喜多村英梨、上坂堇、梶裕贵、游佐浩二、山田栄子、岛本须美,那个世界存在着天国和地狱，地狱被分为八大地狱和八寒地狱两部分，其中更是划分了二百七十二个精细的部署，战后的人口爆发，恶灵（贞子一类的）的凶暴化， 那个世界陷入了前所示闻的混乱之中。不管是这个世界还是那个世界，处理此等问题的就是冷静的善后工作负责人，但是—如此杰出的幕后人物却比各种领袖角色稀少多了。阎罗王手下的第一补佐官・鬼灯就是处理善后的鬼神，作为抖S的鬼灯的地狱日常生活开始了……“冷彻”指不被感情所左右能冷静客观透彻的看待事物。
我的青春恋爱物语果然有问题。,日常+校园+智斗+恋爱+轻改,1032.7万,102.5万,56.5万,2013年4月开播,已完结， 全13话,江口拓也、早见沙织、东山奈央、小松未可子、桧山修之、悠木碧、柚木凉香、中原麻衣、近藤隆、三浦优..,就读于千叶市立综武高等学校高二年级的比企谷八幡，从幼年时代就交不到什么朋友。正当他已经放弃了交朋友这种念头的时候，生活指导老师平冢静介绍他进入了学校第一美女——俗称校花的雪之下雪乃所在的“奉仕部”。奉仕部是一个暗中帮助学生们解决问题的部门，所以不对外招募部员，都是以介绍的方式为部门输送新鲜血液。进入了奉仕部的八幡，和与他有着完全相反个性的由比滨结衣、中二病全开的材木座义辉、网球部的可爱男孩子户冢彩加等人，展开了一段段奇妙的故事……
